number,achieve'money,change(%)
14565252,153624797,1.6184
5962460,62224020,0.6625
8639602,90012975,0.96
8675317,88087778,0.9639
6277714,63709288,0.6975
6198558,63036693,0.6887
4388665,45011091,0.4876
6344159,65445954,0.7049
9157280,93407816,1.0175
9668407,97612309,1.0743
12128162,120081731,1.3476
3790412,37719729,0.4212
4597640,46448353,0.5108
8372259,81923793,0.9303
10230369,100856200,1.1367
12683673,122973764,1.4093
3616104,34389273,0.4018
4202614,39538519,0.467
4791414,45657491,0.5324
2653526,25551010,0.2948
2680631,25461784,0.2978
4414035,41204651,0.4904
4545188,42028838,0.505
3891989,36613679,0.4324
5180136,48471688,0.5756
3466548,32338837,0.3852
5569341,51923619,0.6188
3626725,33721040,0.403
3302403,30550779,0.3669
4574729,43255022,0.5083
2229705,21001941,0.2477
N/A,N/A,N/A
5194932,49524074,0.5772
4851148,46391661,0.539
3027065,28317197,0.3363
1896104,17643907,0.2107
3220509,29699408,0.3578
5186720,47072133,0.5763
